Navassa ;;KP1;Karibik;;unbewohnt;8294;280;1
Demokratische Volksrepublik Korea;Pjöngjang;P5;Asien;;24052231;7931;49;2
Bouvetinsel ;;3Y/B;Südatlantik;;unbewohnt;11889;186;3
Südliche Sandwichinseln;;VP8S;Südatlantik;;unbewohnt;12606;203;4
Crozetinseln;;FT5W;Indischer Ozean;;60 Wissenschaftler;11543;154;5
Heard Insel;;VK0H;Indischer Ozean;;unbewohnt;12973;144;6
Kingmanriff;;KH5K;Nordpazifik;;unbewohnt;13464;355;7
Amsterdam-Insel ;;FT5Z;Indischer Ozean;;25 Stationspersonal;11774;132;8
Tromelin Insel;;FR/T;Indischer Ozean;;19 Stationspersonal;8551;139;9
Juan de Nova;;FR/J;Kanal von Mosambik;;14 Stationspersonal;8212;150;10
Island name;capital;Callsign;Region;;Population;Distance;heading;DXCC
